county_fips,nfip_repetitive_loss,nfip_severe_repetitive_loss,nfip_total_properties,nfip_total_losses,nfip_mean_losses_per_property,nfip_mitigated_pct,nfip_insured_pct,nfip_most_recent_loss_year
13151,6,0,6,12,2.0,0.0,0.6666666666666666,2024
13153,3,0,4,15,3.75,0.25,0.75,2024
13159,1,0,1,2,2.0,0.0,0.0,1998
13171,1,0,1,3,3.0,0.0,0.0,2024
13173,1,0,1,3,3.0,0.0,1.0,2024
13175,8,2,8,26,3.25,0.0,0.25,2022
13177,92,18,100,301,3.01,0.0,0.47,2020
13179,3,0,4,10,2.5,0.5,0.5,2024
13185,14,1,14,36,2.5714285714285716,0.0,0.6428571428571429,2024
13187,2,0,2,4,2.0,0.0,1.0,2021
13191,1,0,1,2,2.0,0.0,0.0,2017
13201,1,0,1,3,3.0,0.0,0.0,2018
13205,8,1,8,21,2.625,0.0,0.375,2020
13207,5,2,6,15,2.5,0.0,0.6666666666666666,2024
13209,6,1,6,17,2.8333333333333335,0.0,0.3333333333333333,2020
13213,7,2,7,22,3.142857142857143,0.0,0.14285714285714285,2024
13215,11,1,11,27,2.4545454545454546,0.0,0.36363636363636365,2024
13217,3,0,4,11,2.75,0.0,0.5,2024
13227,1,0,1,2,2.0,0.0,0.0,2020
13233,17,2,18,47,2.611111111111111,0.0,0.2777777777777778,2025
13235,2,0,2,5,2.5,0.0,0.5,2020
13241,2,0,2,4,2.0,0.0,0.5,2022
13245,42,6,46,150,3.260869565217391,0.0,0.3695652173913043,2025
13247,9,0,10,25,2.5,0.1,0.4,2024
13253,12,4,12,43,3.5833333333333335,0.0,0.16666666666666666,2021
13261,0,0,1,2,2.0,0.0,1.0,2020
13267,3,1,3,8,2.6666666666666665,0.0,0.3333333333333333,2024
13269,1,0,1,2,2.0,0.0,0.0,2015
13271,1,0,1,3,3.0,0.0,0.0,2015
13275,4,2,4,14,3.5,0.0,0.25,2020
13277,3,0,3,7,2.3333333333333335,0.0,0.0,2012
13279,5,0,5,13,2.6,0.0,0.4,2020
13281,6,1,6,16,2.6666666666666665,0.0,0.3333333333333333,2021
13285,10,0,10,28,2.8,0.0,0.4,2024
13291,3,0,3,7,2.3333333333333335,0.0,0.3333333333333333,2021
13293,3,0,3,10,3.3333333333333335,0.0,0.6666666666666666,2025
13295,10,0,10,28,2.8,0.0,0.3,2013
13297,3,1,3,9,3.0,0.0,0.3333333333333333,2023
13299,5,0,5,13,2.6,0.0,0.4,2024
13303,3,0,3,7,2.3333333333333335,0.0,0.6666666666666666,2024
13309,2,0,2,4,2.0,0.0,1.0,2020
13311,3,1,3,9,3.0,0.0,0.6666666666666666,2021
13313,9,2,9,30,3.3333333333333335,0.0,0.5555555555555556,2024
13321,3,0,3,8,2.6666666666666665,0.0,0.6666666666666666,2017
15001,48,13,48,168,3.5,0.0,0.25,2025
15003,132,13,133,372,2.7969924812030076,0.0,0.3458646616541353,2025
15007,53,3,56,131,2.3392857142857144,0.0,0.44642857142857145,2024
15009,39,5,42,120,2.857142857142857,0.07142857142857142,0.5714285714285714,2025
16001,2,0,2,4,2.0,0.0,0.0,2019
16005,1,0,1,2,2.0,0.0,0.0,2013
16009,3,0,3,10,3.3333333333333335,0.0,0.0,2017
16013,10,0,10,29,2.9,0.0,0.9,2023
16051,2,0,2,4,2.0,0.0,0.0,2006
16055,3,0,4,10,2.5,0.25,0.5,2018
16057,2,1,3,6,2.0,0.0,0.3333333333333333,2025
16075,2,0,2,4,2.0,0.0,0.5,2019
16079,7,1,7,24,3.4285714285714284,0.0,0.14285714285714285,2011
16081,1,0,1,2,2.0,0.0,0.0,2014
16087,1,0,1,2,2.0,0.0,0.0,2019
17001,21,7,29,101,3.4827586206896552,0.10344827586206896,0.1724137931034483,2019
17003,25,0,26,70,2.6923076923076925,0.038461538461538464,0.3076923076923077,2019
17007,3,1,3,9,3.0,0.0,0.3333333333333333,2013
17009,6,1,6,21,3.5,0.0,0.16666666666666666,2016
17011,4,0,4,15,3.75,0.0,0.25,2020
17013,82,22,122,622,5.098360655737705,0.22950819672131148,0.040983606557377046,2019
17015,6,0,6,16,2.6666666666666665,0.0,0.0,2014
17017,4,1,4,14,3.5,0.0,0.5,2016
17019,15,3,19,67,3.526315789473684,0.21052631578947367,0.05263157894736842,2018
17021,3,1,3,8,2.6666666666666665,0.0,0.0,2002
17023,3,1,3,11,3.6666666666666665,0.0,0.3333333333333333,2018
17027,3,0,3,7,2.3333333333333335,0.0,0.6666666666666666,2024
17029,3,0,3,6,2.0,0.0,0.3333333333333333,2018
17031,1610,115,1649,4365,2.6470588235294117,0.026682838083687082,0.343844754396604,2025
17033,6,1,6,14,2.3333333333333335,0.0,0.0,2013
17037,29,5,33,95,2.878787878787879,0.030303030303030304,0.30303030303030304,2013
17039,0,0,1,4,4.0,1.0,0.0,1995
17041,20,2,20,72,3.6,0.0,0.3,2017
17043,265,28,278,799,2.8741007194244603,0.03237410071942446,0.3345323741007194,2025
17053,1,0,1,2,2.0,0.0,1.0,2020
17055,3,0,3,7,2.3333333333333335,0.0,0.0,2017
17057,17,5,27,129,4.777777777777778,0.3333333333333333,0.07407407407407407,2019
17059,1,0,2,5,2.5,0.5,0.0,2011
17061,1,0,1,3,3.0,0.0,0.0,1995
