Issuer_Name,State_Abb,Jurisdiction_Type,Entity_Type,Controlling_Jurisdiction,Ultimate_Political_Jurisdiction,lat,lng,formatted_address,place_id,location_type,geo_source,match_method
North Sewickley Township Sewer Authority,PA,CITY,Authority/Agency,North Sewickley Township,North Sewickley Township,40.8009992,-80.2878794,"North Sewickley Township, PA, USA",ChIJR1FVoGB3NIgRXHoJDMYwFQA,APPROXIMATE,GoogleGeocodingAPI,EXACT_UPJ
North Sewickley Township Water Authority,PA,CITY,Special district,North Sewickley Township,North Sewickley Township,40.8009992,-80.2878794,"North Sewickley Township, PA, USA",ChIJR1FVoGB3NIgRXHoJDMYwFQA,APPROXIMATE,GoogleGeocodingAPI,EXACT_UPJ
North Texas Municipal Water District,TX,SPECIAL_DISTRICT,Special district,North Texas Municipal,North Texas Municipal,33.0175351,-96.5332357,"501 E Brown St, Wylie, TX 75098, USA",ChIJl4q1MWEETIYRBujU51SGbBQ,ROOFTOP,GoogleGeocodingAPI,EXACT_ISSUER
North Texas Municipal Water District Water System Revenue,TX,SPECIAL_DISTRICT,Special district,North Texas Municipal,North Texas Municipal,33.0175351,-96.5332357,"501 E Brown St, Wylie, TX 75098, USA",ChIJl4q1MWEETIYRBujU51SGbBQ,ROOFTOP,GoogleGeocodingAPI,FUZZY_ISSUER
Northampton Municipal Utility District,TX,SPECIAL_DISTRICT,Special district,Northampton,Northampton,31.9685988,-99.9018131,"Texas, USA",ChIJSTKCCzZwQIYRPN4IGI8c6xY,APPROXIMATE,GoogleGeocodingAPI,EXACT_ISSUER
Northern Illinois University,IL,STATE,Public university,Illinois,State of Illinois,39.7870401,-89.6536923,"Capital Township, IL, USA",ChIJ1YPAwfo4dYgR9zzFzf6if_M,APPROXIMATE,GoogleGeocodingAPI,EXACT_UPJ
Northern Virginia Transportation Commission,VA,MULTI_JURISDICTIONAL,Regional commission,Northern Virginia jurisdictions,Northern Virginia jurisdictions,38.8905986,-77.0870948,"2300 Wilson Blvd, Arlington, VA 22201, USA",ChIJJYMzKCW0t4kRw9l7Thijx4w,ROOFTOP,GoogleGeocodingAPI,EXACT_ISSUER
Northlake Municipal Management District No 1,TX,SPECIAL_DISTRICT,Special district,Northlake (TX),Northlake (TX),33.1008248,-97.2540328,"Northlake, TX, USA",ChIJgbDq14_PTYYRD9hTydkTCmE,APPROXIMATE,GoogleGeocodingAPI,FUZZY_ISSUER
Northtown Municipal Utility District,TX,SPECIAL_DISTRICT,Special district,Northtown,Northtown,30.4302468,-97.641814,"700 E Wells Branch Pkwy, Pflugerville, TX 78660, USA",ChIJA1iVIanPRIYRD4ynY0EQi4U,ROOFTOP,GoogleGeocodingAPI,EXACT_ISSUER
Northwest Harris County Municipal Utility District No 10/TX,TX,SPECIAL_DISTRICT,Special district,"Northwest Harris County, TX","Northwest Harris County, TX",29.7613842,-95.3607816,"1001 Preston St #938, Houston, TX 77002, USA",ChIJB_rIYyW_QIYROoD01I33vXE,ROOFTOP,GoogleGeocodingAPI,FUZZY_ISSUER
