Issuer_Name,Issue_Date,n_CUSIPs,Self_reported_Green,Total_Face_Value,lead_CUSIP,all_CUSIPs,emma_security_details,emma_search,google_site_search
City of Los Angeles CA Wastewater System Revenue,2023-09-13,1,No,280000000,54466DAA3,54466DAA3,https://emma.msrb.org/Security/Details/54466DAA3,https://emma.msrb.org/Search/Search.aspx?criteria=54466DAA3,https://www.google.com/search?q=site%3Aemma.msrb.org%2054466DAA3%20%22Official%20Statement%22
City of Los Angeles Department of Airports,,8,Yes,263705000,5444452H1,5444452H1;5444452J7;5444452L2;5444452P3;5444452U2;5444452W8;5444452Y4;5444455R6,https://emma.msrb.org/Security/Details/5444452H1,https://emma.msrb.org/Search/Search.aspx?criteria=5444452H1,https://www.google.com/search?q=site%3Aemma.msrb.org%205444452H1%20%22Official%20Statement%22
City of Los Angeles Department of Airports,2022-08-24,1,Yes,20115000,54444SB32,54444SB32,https://emma.msrb.org/Security/Details/54444SB32,https://emma.msrb.org/Search/Search.aspx?criteria=54444SB32,https://www.google.com/search?q=site%3Aemma.msrb.org%2054444SB32%20%22Official%20Statement%22
City of Los Angeles Department of Airports,2023-04-11,20,Yes,221800000,544445W39,544445W39;544445W47;544445W54;544445W62;544445W70;544445W88;544445W96;544445X20;544445X38;544445X46;544445X53;544445X61;544445X79;544445X87;544445X95;544445Y29;544445Y37;544445Y45;544445Y52;544445Y60,https://emma.msrb.org/Security/Details/544445W39,https://emma.msrb.org/Search/Search.aspx?criteria=544445W39,https://www.google.com/search?q=site%3Aemma.msrb.org%20544445W39%20%22Official%20Statement%22
City of Los Angeles Department of Airports,2025-01-27,1,Yes,4565000,5444452M0,5444452M0,https://emma.msrb.org/Security/Details/5444452M0,https://emma.msrb.org/Search/Search.aspx?criteria=5444452M0,https://www.google.com/search?q=site%3Aemma.msrb.org%205444452M0%20%22Official%20Statement%22
City of Los Angeles Department of Airports,2025-03-04,5,Yes,171040000,5444452F5,5444452F5;5444452K4;5444452N8;5444452S7;5444452V0,https://emma.msrb.org/Security/Details/5444452F5,https://emma.msrb.org/Search/Search.aspx?criteria=5444452F5,https://www.google.com/search?q=site%3Aemma.msrb.org%205444452F5%20%22Official%20Statement%22
City of Los Angeles Department of Airports,2025-04-03,2,Yes,78995000,5444453A5,5444453A5;5444455X3,https://emma.msrb.org/Security/Details/5444453A5,https://emma.msrb.org/Search/Search.aspx?criteria=5444453A5,https://www.google.com/search?q=site%3Aemma.msrb.org%205444453A5%20%22Official%20Statement%22
City of Los Angeles Department of Airports,2025-04-10,2,Yes,85800000,5444452X6,5444452X6;5444452Z1,https://emma.msrb.org/Security/Details/5444452X6,https://emma.msrb.org/Search/Search.aspx?criteria=5444452X6,https://www.google.com/search?q=site%3Aemma.msrb.org%205444452X6%20%22Official%20Statement%22
City of Los Angeles Department of Airports,2025-04-21,1,Yes,46605000,5444456F1,5444456F1,https://emma.msrb.org/Security/Details/5444456F1,https://emma.msrb.org/Search/Search.aspx?criteria=5444456F1,https://www.google.com/search?q=site%3Aemma.msrb.org%205444456F1%20%22Official%20Statement%22
City of Los Angeles Department of Airports,2025-04-22,12,Yes,411580000,5444455P0,5444455P0;5444455T2;5444455U9;5444455V7;5444455W5;5444455Y1;5444455Z8;5444456A2;5444456B0;5444456D6;5444456E4;5444456G9,https://emma.msrb.org/Security/Details/5444455P0,https://emma.msrb.org/Search/Search.aspx?criteria=5444455P0,https://www.google.com/search?q=site%3Aemma.msrb.org%205444455P0%20%22Official%20Statement%22
