year,fips7,city_name,state_dem_governor,state_dem_legislature,state_dem_trifecta,state_govt_trifecta,state_legis_control,state_rep_trifecta
2023,560410,rogers,0.0,0.0,0.0,Rep,Rep,1.0
2017,600562,alameda,1.0,1.0,1.0,Dem,Dem,0.0
2022,600562,alameda,1.0,1.0,1.0,Dem,Dem,0.0
2013,602000,anaheim,1.0,1.0,1.0,Dem,Dem,0.0
2014,602000,anaheim,1.0,1.0,1.0,Dem,Dem,0.0
2015,602000,anaheim,1.0,1.0,1.0,Dem,Dem,0.0
2016,602000,anaheim,1.0,1.0,1.0,Dem,Dem,0.0
2017,602000,anaheim,1.0,1.0,1.0,Dem,Dem,0.0
2018,602000,anaheim,1.0,1.0,1.0,Dem,Dem,0.0
2019,602000,anaheim,1.0,1.0,1.0,Dem,Dem,0.0
2020,602000,anaheim,1.0,1.0,1.0,Dem,Dem,0.0
2021,602000,anaheim,1.0,1.0,1.0,Dem,Dem,0.0
2022,602000,anaheim,1.0,1.0,1.0,Dem,Dem,0.0
2023,602000,anaheim,1.0,1.0,1.0,Dem,Dem,0.0
2013,602252,antioch,1.0,1.0,1.0,Dem,Dem,0.0
2017,602252,antioch,1.0,1.0,1.0,Dem,Dem,0.0
2022,602252,antioch,1.0,1.0,1.0,Dem,Dem,0.0
2013,603526,bakersfield,1.0,1.0,1.0,Dem,Dem,0.0
2014,603526,bakersfield,1.0,1.0,1.0,Dem,Dem,0.0
2015,603526,bakersfield,1.0,1.0,1.0,Dem,Dem,0.0
2016,603526,bakersfield,1.0,1.0,1.0,Dem,Dem,0.0
2017,603526,bakersfield,1.0,1.0,1.0,Dem,Dem,0.0
2018,603526,bakersfield,1.0,1.0,1.0,Dem,Dem,0.0
2019,603526,bakersfield,1.0,1.0,1.0,Dem,Dem,0.0
2020,603526,bakersfield,1.0,1.0,1.0,Dem,Dem,0.0
2021,603526,bakersfield,1.0,1.0,1.0,Dem,Dem,0.0
2022,603526,bakersfield,1.0,1.0,1.0,Dem,Dem,0.0
2023,603526,bakersfield,1.0,1.0,1.0,Dem,Dem,0.0
