CUSIP,Issuer_Name,Issue_Date,Self_reported_Green,Amt_Issued,State,n_prospectuses,match_kind,prospectus_files
79765R2Q1,City of San Francisco CA Public Utilities Commission Water Revenue,2017-12-28,Yes,59875000.0,CA,3,prefix+suffix,ES1078538-ES842358-ES1243371;P11837901-P11408439-P11850619;P31444744-P31122109-P31534138
395468LM1,City of Greensboro NC Combined Water & Sewer System Revenue,2017-08-17,Yes,2800000.0,NC,1,full,ER1074674-ER841832-ER1242654
051595AR7,City of Aurora CO Water Revenue,2016-08-16,Yes,11445000.0,CO,1,full,EP942755-EP731498-EP1133209
79765RQ93,City of San Francisco CA Public Utilities Commission Water Revenue,2017-12-13,Yes,2705000.0,CA,2,prefix+suffix,ER1108407-ER866317-ER1267002;P11837901-P11408439-P11850619
79765R2S7,City of San Francisco CA Public Utilities Commission Water Revenue,2017-12-28,Yes,11105000.0,CA,3,prefix+suffix,ES1078538-ES842358-ES1243371;P11837901-P11408439-P11850619;P31444744-P31122109-P31534138
254845MX5,District of Columbia Water & Sewer Authority,2017-02-23,Yes,59100000.0,DC,1,full,EP975656-EP756739-EP1158361
53945CGH7,City of Los Angeles CA Wastewater System Revenue,2017-05-24,Yes,16365000.0,CA,1,prefix+suffix,EP996982-EP772996-EP1174766
4386705Y3,City & County of Honolulu HI,2016-10-26,Yes,7870000.0,HI,1,prefix+suffix,EP955560-EP741280-EP1142849
79765R2M0,City of San Francisco CA Public Utilities Commission Water Revenue,2017-12-28,Yes,12550000.0,CA,3,prefix+suffix,ES1078538-ES842358-ES1243371;P11837901-P11408439-P11850619;P31444744-P31122109-P31534138
186423AL3,City of Cleveland OH Water Pollution Control,2016-04-14,Yes,845000.0,OH,2,full;prefix+split_suffix,ES781071-ES614229-ES1009918;P21832967-P11362993-P21846817
544552ZY1,Port of Los Angeles,2016-10-13,Yes,35205000.0,CA,1,full,ES821894-ES644906-ES1040084
53945CGL8,City of Los Angeles CA Wastewater System Revenue,2017-05-24,Yes,18155000.0,CA,1,prefix+suffix,EP996982-EP772996-EP1174766
79768HCY2,San Francisco City & County Public Utilities Commission Wastewater Revenue,2016-05-24,Yes,11425000.0,CA,1,prefix+suffix,ES786506-ES618502-ES1014137
53945CGN4,City of Los Angeles CA Wastewater System Revenue,2017-05-24,Yes,7605000.0,CA,1,prefix+suffix,EP996982-EP772996-EP1174766
53945CFW5,City of Los Angeles CA Wastewater System Revenue,2017-05-24,Yes,10165000.0,CA,1,prefix+suffix,EP996982-EP772996-EP1174766
79768HCP1,San Francisco City & County Public Utilities Commission Wastewater Revenue,2016-05-24,Yes,7395000.0,CA,1,prefix+suffix,ES786506-ES618502-ES1014137
79765RN88,City of San Francisco CA Public Utilities Commission Water Revenue,2016-12-14,Yes,6455000.0,CA,1,prefix+suffix,ES997086-ES780844-ES1182154
79765RR35,City of San Francisco CA Public Utilities Commission Water Revenue,2017-12-13,Yes,2990000.0,CA,2,prefix+suffix,ER1108407-ER866317-ER1267002;P11837901-P11408439-P11850619
051595BD7,City of Aurora CO Water Revenue,2016-08-16,Yes,62915000.0,CO,1,full,EP942755-EP731498-EP1133209
736754PA4,City of Portland OR Water System Revenue,2016-12-15,No,6555000.0,OR,1,prefix+suffix,EP972015-EP753901-EP1155503
438687DN2,City & County of Honolulu HI,2017-09-14,Yes,1220000.0,HI,1,prefix+suffix,ES1040822-ES813624-ES1215008
79765RQ36,City of San Francisco CA Public Utilities Commission Water Revenue,2016-12-14,Yes,9475000.0,CA,1,prefix+suffix,ES997086-ES780844-ES1182154
79765RR43,City of San Francisco CA Public Utilities Commission Water Revenue,2017-12-13,Yes,3140000.0,CA,2,prefix+suffix,ER1108407-ER866317-ER1267002;P11837901-P11408439-P11850619
071474DG2,City of Battle Creek MI Water & Wastewater System Revenue,2016-12-28,--,2345000.0,MI,1,full,ER1000524-ER782761-ER1183971
186423AX7,City of Cleveland OH Water Pollution Control,2016-04-14,Yes,7565000.0,OH,1,full,ES781071-ES614229-ES1009918
051595BH8,City of Aurora CO Water Revenue,2016-08-16,Yes,5000000.0,CO,1,full,EP942755-EP731498-EP1133209
