CUSIP,Issuer_Name,Issue_Date,primary_prospectus,n_prospectus_matches,match_kind,prospectus_total_words,green_section_chars,n_green_keywords,green_keyword_density_per_1k,n_frameworks_cited,frameworks_cited,has_SPO,spo_verifiers,bloomberg_self_reported_green,bloomberg_esg_assurance,bloomberg_esg_framework,bloomberg_project_category,bloomberg_industry,city_fips7,State
013630EL8,City of Albuquerque NM Refuse Removal & Disposal Revenue,2020-06-30,RE1353388-RE1052206-RE1461006,1,prefix+suffix,80277,0,18,0.224,0,,0,,--,No,No,Sustainable Water,Solid Waste,3502000.0,NM
86754EAN6,Sunnyvale Financing Authority,2020-11-12,P21413204-P21094842-P21503807,1,prefix+suffix,140498,0,148,1.053,0,,0,,Yes,No,No,"Renewable Energy, Green Buildings",Appropriation,677000.0,CA
86754EAV8,Sunnyvale Financing Authority,2020-11-12,P21413204-P21094842-P21503807,1,full,140498,0,148,1.053,0,,0,,Yes,No,No,"Renewable Energy, Green Buildings",Appropriation,677000.0,CA
812643UQ5,City of Seattle WA Municipal Light & Power Revenue,2020-08-05,SS1393189-SS1083903-SS1491943,1,full,148178,2354,499,3.368,1,ICMA Green Bond Principles,1,Kestrel;ICMA GBP;Green Bond Principles,Yes,Yes,Yes,Renewable Energy,Municipal Utility,5363000.0,WA
79771FFL6,City of San Francisco CA Public Utilities Commission Water Revenue,2020-01-09,P11837901-P11408439-P11850619,1,full,179295,8000,385,2.147,1,Climate Bonds Standard,1,Sustainalytics;Climate Bond Initiative,Yes,Yes,Yes,,Water/Sewer,667000.0,CA
094725MG0,City of Bloomington IN Sewage Works Revenue,2020-12-23,P31405898-P31093081-P31502131,1,prefix+suffix,49619,6472,28,0.564,1,Sustainable Development Goals,0,,Yes,Yes,No,Sustainable Water,Water/Sewer,1805860.0,IN
79771FFH5,City of San Francisco CA Public Utilities Commission Water Revenue,2020-01-09,P11837901-P11408439-P11850619,1,full,179295,8000,385,2.147,1,Climate Bonds Standard,1,Sustainalytics;Climate Bond Initiative,Yes,Yes,Yes,Sustainable Water,Water/Sewer,667000.0,CA
79765R4Z9,City of San Francisco CA Public Utilities Commission Water Revenue,2020-01-09,ER1294533-ES1040166-ES1443450,3,full;prefix+suffix,378671,8000,278,0.734,2,Climate Bonds Standard;Sustainable Development Goals,1,Sustainalytics;Climate Bond Initiative,Yes,Yes,Yes,Sustainable Water,Water/Sewer,667000.0,CA
79765R4T3,City of San Francisco CA Public Utilities Commission Water Revenue,2020-01-09,ER1294533-ES1040166-ES1443450,3,full;prefix+suffix,378671,8000,278,0.734,2,Climate Bonds Standard;Sustainable Development Goals,1,Sustainalytics;Climate Bond Initiative,Yes,Yes,Yes,Sustainable Water,Water/Sewer,667000.0,CA
812643US1,City of Seattle WA Municipal Light & Power Revenue,2020-08-05,SS1393189-SS1083903-SS1491943,2,full;prefix+split_suffix,148178,2354,499,3.368,1,ICMA Green Bond Principles,1,Kestrel;ICMA GBP;Green Bond Principles,Yes,Yes,Yes,Renewable Energy,Municipal Utility,5363000.0,WA
013630DZ8,City of Albuquerque NM Refuse Removal & Disposal Revenue,2020-06-30,RE1353388-RE1052206-RE1461006,1,prefix+suffix,80277,0,18,0.224,0,,0,,--,No,No,Sustainable Water,Solid Waste,3502000.0,NM
86754EAT3,Sunnyvale Financing Authority,2020-11-12,P21413204-P21094842-P21503807,1,full,140498,0,148,1.053,0,,0,,Yes,No,No,"Renewable Energy, Green Buildings",Appropriation,677000.0,CA
812643VB7,City of Seattle WA Municipal Light & Power Revenue,2020-08-05,SS1393189-SS1083903-SS1491943,1,full,148178,2354,499,3.368,1,ICMA Green Bond Principles,1,Kestrel;ICMA GBP;Green Bond Principles,Yes,Yes,Yes,Renewable Energy,Municipal Utility,5363000.0,WA
812643VC5,City of Seattle WA Municipal Light & Power Revenue,2020-08-05,SS1393189-SS1083903-SS1491943,1,full,148178,2354,499,3.368,1,ICMA Green Bond Principles,1,Kestrel;ICMA GBP;Green Bond Principles,Yes,Yes,Yes,Renewable Energy,Municipal Utility,5363000.0,WA
812643VD3,City of Seattle WA Municipal Light & Power Revenue,2020-08-05,SS1393189-SS1083903-SS1491943,1,full,148178,2354,499,3.368,1,ICMA Green Bond Principles,1,Kestrel;ICMA GBP;Green Bond Principles,Yes,Yes,Yes,Renewable Energy,Municipal Utility,5363000.0,WA
86754EAM8,Sunnyvale Financing Authority,2020-11-12,P21413204-P21094842-P21503807,1,prefix+suffix,140498,0,148,1.053,0,,0,,Yes,No,No,"Renewable Energy, Green Buildings",Appropriation,677000.0,CA
439241AB6,Hoover Industrial Development Board,2020-11-24,P11441870-P11118127-P11528507,1,full,28709,5816,32,1.115,1,ICMA Green Bond Principles,1,Green Bond Principles,Yes,No,Yes,Circular Economy,Development,135896.0,AL
812643UP7,City of Seattle WA Municipal Light & Power Revenue,2020-08-05,SS1393189-SS1083903-SS1491943,1,full,148178,2354,499,3.368,1,ICMA Green Bond Principles,1,Kestrel;ICMA GBP;Green Bond Principles,Yes,Yes,Yes,Renewable Energy,Municipal Utility,5363000.0,WA
013630EA2,City of Albuquerque NM Refuse Removal & Disposal Revenue,2020-06-30,RE1353388-RE1052206-RE1461006,1,prefix+suffix,80277,0,18,0.224,0,,0,,--,No,No,Sustainable Water,Solid Waste,3502000.0,NM
013630EG9,City of Albuquerque NM Refuse Removal & Disposal Revenue,2020-06-30,RE1353388-RE1052206-RE1461006,1,prefix+suffix,80277,0,18,0.224,0,,0,,--,No,No,Sustainable Water,Solid Waste,3502000.0,NM
